decision_id,date,eu_code,eu_desc,issue_type,before_hs6,after_hs6,release_policy,decision,rationale,decided_by,reviewed_by,source_round
ADJ-005-CINNAMON,2026-06-29,830010,Cinnamon,COVERAGE_WRONG_SUBHEADING,090611,090619,EXPORT_PRODUCT,accepted_applied,090611=Ceylon only; cassia ASEAN (VN/ID: C.loureirii/burmannii)=090619. Tùy: 090611;090619,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-POTATO,2026-06-29,211000,Potatoes (a),HEADING_RULE_OVERFIRE,(excluded as heading),070110;070190,EXPORT_PRODUCT,accepted_applied,"0211000 mang Solanum tuberosum = commodity tận cùng, không phải heading. Khoai tây bị mất hẳn",Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-STRAWBERRY,2026-06-29,152000,Strawberries (b),HEADING_RULE_OVERFIRE,(excluded as heading),081010,EXPORT_PRODUCT,accepted_applied,0152000 mang Fragaria x ananassa = commodity tận cùng. Dâu tây quả bị mất hẳn (632010 là lá pha trà),Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-SWEETCORN,2026-06-29,234000,Sweet corn (d),HEADING_RULE_OVERFIRE,(excluded as heading),070999,EXPORT_PRODUCT,accepted_applied,Zea mays saccharata = commodity tận cùng; Thái Lan XK đáng kể,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-KOHLRABI,2026-06-29,244000,Kohlrabies (d),HEADING_RULE_OVERFIRE,(excluded as heading),070490,EXPORT_PRODUCT,accepted_applied,Commodity tận cùng (su hào) bị loại oan,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-WATERCRESS,2026-06-29,254000,Watercresses (d),HEADING_RULE_OVERFIRE,(excluded as heading),070999,EXPORT_PRODUCT,accepted_applied,Commodity tận cùng (cải xoong) bị loại oan,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-GRAPELEAF,2026-06-29,253000,Grape leaves (c),HEADING_RULE_OVERFIRE,(excluded as heading),070999,EXPORT_PRODUCT,accepted_applied,Commodity tận cùng (lá nho) bị loại oan,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-WITLOOF,2026-06-29,255000,Witloofs/Belgian endives (e),HEADING_RULE_OVERFIRE,(excluded as heading),070521,EXPORT_PRODUCT,accepted_applied,Commodity tận cùng bị loại oan; ít liên quan ASEAN,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-SWEETPEPPER,2026-06-29,231020,Sweet peppers/bell peppers,RAC_VS_COVERAGE_INCONSISTENT,070960;090421;090422,070960,EXPORT_PRODUCT,accepted_applied,"070960=tươi=RAC. 090421/090422=Capsicum khô (coverage dán lén, không note). Cắt còn 070960 hoặc ghi rõ ngoại lệ coverage",Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-BAYLEAF,2026-06-29,256090,Laurel/bay leaves,HERB_VS_SPICE_INCONSISTENT,091099,070999,EXPORT_PRODUCT,accepted_applied,Herb anh em nhóm 0256000 đều →070999; bay riêng →091099. Hợp trade nếu coi là gia vị khô nhưng cần note,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-CASHEW,2026-06-29,120030,Cashew nuts,RAC_VS_COVERAGE,080131,080132,EXPORT_PRODUCT,accepted_applied,"VN XK điều LỚN NHẤT thế giới, ~toàn bộ bóc vỏ 080132. RAC-only (080131) bỏ sót ~toàn bộ. MRL áp cho nhân bóc vỏ",Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-NUTS,2026-06-29,0120010..0120110,Tree nuts (trừ cashew),IN_SHELL_VS_SHELLED,in-shell only,in-shell + shelled,EXPORT_PRODUCT,accepted_applied,"ASEAN XK không đáng kể; lấy cả hai dạng để đối xứng, MRL áp cho nhân bất kể vỏ",Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-SPICE,2026-06-29,0820xxx/0810xxx,Spices,WHOLE_VS_CRUSHED,whole only,whole + crushed/ground,EXPORT_PRODUCT,accepted_applied,Xay không đổi cơ sở MRL (khác rang); bột là dạng XK thật (ớt bột/tiêu xay/nghệ bột),Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-COFFEE,2026-06-29,620000,Coffee beans,RAC_VS_COVERAGE,090111;090112,090111;090112,EXPORT_PRODUCT,accepted_applied,"Giữ green only: VN/ID XK ~toàn bộ green; rang=chế biến thật, MRL trên hạt xanh",Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-HOPS,2026-06-29,700000,Hops,RAC_VS_COVERAGE,121010,121010,EXPORT_PRODUCT,accepted_applied,Giữ 121010 only: ASEAN ~không XK; 121020=chế biến,Opus,applied@57f0722; user-signoff-optional,005
ADJ-005-CHERRY,2026-06-29,140020,Cherries (sweet),SUBITEM_SCOPE,080929,080929,EXPORT_PRODUCT,accepted_applied,Giữ 080929 only (Prunus avium); KHÔNG thêm 080921 (sour=commodity khác),Opus,applied@57f0722; user-signoff-optional,005
