eu_code,eu_desc,current_hs6_in_pushed_file,gpt_assessment,recommended_hs6_or_policy,action_type,priority,reason,evidence_or_hs2012_basis,pipeline_target,policy_note,source_concordance_sha,source_concordance_url,source_hs2012_url,source_annex_url,reviewer,review_date
BULK_RULE_001,No literal nan in hs6,any hs6 == 'nan',PIPELINE,blank cell,NORMALIZE_NULLS,P0,The current CSV uses literal 'nan' in many hs6 cells. This will pass string-based regex checks unless explicitly blocked. Convert to empty string before validation/export.,Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
BULK_RULE_004,Excluded rows must not enter release,phase2_status contains excluded_nec or excluded_nonfood,PIPELINE,release_ready = false,RELEASE_FILTER,P0,"Catch-all Others and animal/nonfood rows can retain notes or provisional HS6, but build_release.py must filter them out unless explicitly re-included.",Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
BULK_RULE_006,Group headings blocked from release_long,eu_code ending 0000 or group-level phase2_status,PIPELINE,use children only,RELEASE_FILTER,P0,Group headings often have placeholder anchors that are not valid product-level concordances.,Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
BULK_RULE_005,One HS6 per release_long row,hs6 contains ';',PIPELINE,explode to release_long,RELEASE_FORMAT,P0,Semicolon-delimited HS fields are acceptable in review table but unsafe as merge keys for trade data.,Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0140020,Cherries (sweet),080921,SAI,080921;080929,REPLACE_OR_SPLIT_HS6,P0,"Current code 080921 is sour cherries. The Annex parent is sweet cherries and also contains a sour-cherry subitem; to cover the whole EU code use both sour and other cherries, or use 080929 if mapping only the parent/main sweet-cherry commodity.","Annex: 0140020 is Cerasus avium / Prunus avium, with subitem sour cherries; HS2012: 080921 sour cherries, 080929 other cherries.",concordance_final_asean.csv,"Adjudicate whether parent-only mapping should be 080929, or parent+subitems should be 080921;080929.",bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0211000,(a) potatoes,070110,SAI,070110;070190,REPLACE_OR_SPLIT_HS6,P0,Current code covers seed potatoes only. EU product is potatoes generally; HS2012 also has 070190 for fresh/chilled potatoes other than seed.,"HS2012: 070110 seed potatoes; 070190 potatoes, fresh/chilled, other than seed.",concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0401060,Rapeseeds/canola seeds,120590,SAI,120510;120590,SPLIT_REQUIRED,P0,"Current code misses low-erucic rape/colza seed, which is the canola part of the EU product.",HS2012: 120510 low erucic acid rape/colza; 120590 other rape/colza.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0401070,Soyabeans,120190,SAI,120110;120190,SPLIT_REQUIRED,P0,"Current code covers soybeans other than seed only. If the concordance is product-level rather than end-use-level, seed soybeans must also be included.",HS2012: 120110 soya beans seed; 120190 soya beans other.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0401090,Cotton seeds,120721,SAI,120721;120729,SPLIT_REQUIRED,P0,Current code covers cotton seeds for sowing only; EU product is cotton seeds generally.,"HS2012: 120721 cotton seeds, seed; 120729 cotton seeds, other than seed.",concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500030,Maize/corn,100510,SAI,100510;100590,SPLIT_REQUIRED,P0,Current code covers maize seed only. EU product is maize/corn generally.,HS2012: 100510 maize seed; 100590 maize other.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500040,Common millet/proso millet,100821,SAI,100821;100829,SPLIT_REQUIRED,P0,Current code covers seed millet only. EU product is common/proso millet generally.,HS2012: 100821 millet seed; 100829 millet other.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500050,Oat,100410,SAI,100410;100490,SPLIT_REQUIRED,P0,Current code covers oats for sowing/seed only. EU product is oats generally.,HS2012: 100410 oats seed; 100490 oats other.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500070,Rye,100210,SAI,100210;100290,SPLIT_REQUIRED,P0,Current code covers rye seed only. EU product is rye generally.,HS2012: 100210 rye seed; 100290 rye other.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500080,Sorghum,100710,SAI,100710;100790,SPLIT_REQUIRED,P0,Current code covers grain sorghum seed only. EU product is sorghum generally.,HS2012: 100710 grain sorghum seed; 100790 grain sorghum other.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0120990,Others (2) — tree nuts,080270,NGỜ,EXCLUDE_NEC OR 080270;080280;080290,CATCH_ALL_POLICY,P1,"Current code covers kola nuts only. If Others rows are excluded from the analysis, blank this mapping and filter it out; if retained, use a broader residual set.",HS2012: 080270 kola nuts; 080280 areca nuts; 080290 other edible nuts n.e.c.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
BULK_RULE_008,Seed/non-seed split detector,HS descriptions contain 'seed' and adjacent other code exists,PIPELINE,flag for split review,CI_WARNING,P1,This catches rye/oat/maize/sorghum/millet/soybean/cotton cases where the current code may be seed-only.,Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0231020,Sweet peppers/bell peppers,070960;090421;090422,NGỜ,070960;090421;090422,EXPLODE_TO_RELEASE_LONG,P1,Current mapping includes fresh and dried/crushed Capsicum/Pimenta. Keep only 070960 for fresh vegetable scope; keep all three if RAC_dried/process scope is intentional.,Pipeline rule: release_long must have exactly one HS6 per row; never merge trade data on a semicolon-delimited field.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0620000,Coffee beans,090111;090112;090121;090122,NGỜ,090111;090112;090121;090122,EXPLODE_TO_RELEASE_LONG,P1,"Current mapping includes roasted coffee. If the MRL commodity is raw coffee beans only, restrict to unroasted 090111/090112; if export panel includes roasted coffee, keep but document processed-form inclusion.",Pipeline rule: release_long must have exactly one HS6 per row; never merge trade data on a semicolon-delimited field.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0110000,Citrus fruits,080590,NGỜ,NO_DIRECT_GROUP_MAP; use children 0110010-0110990,GROUP_HEADING_DO_NOT_EXPORT,P1,"Current group anchor is other citrus only and misses oranges, mandarins, grapefruit/pomelo, lemons/limes.",Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0120000,Tree nuts,080280,NGỜ,NO_DIRECT_GROUP_MAP; use children 0120010-0120990,GROUP_HEADING_DO_NOT_EXPORT,P1,Current group anchor is areca nuts; it cannot represent all tree nuts.,Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0130000,Pome fruits,080810,NGỜ,NO_DIRECT_GROUP_MAP; use apples/pears/quinces/medlars/loquats/others,GROUP_HEADING_DO_NOT_EXPORT,P1,Current group anchor is apples only.,Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0140000,Stone fruits,080940,NGỜ,NO_DIRECT_GROUP_MAP; use apricots/cherries/peaches/plums/others,GROUP_HEADING_DO_NOT_EXPORT,P1,Current group anchor is plums/sloes only.,Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0154000,(d) other small fruits and berries,081040,NGỜ,NO_DIRECT_GROUP_MAP; use children 0154010-0154990,GROUP_HEADING_DO_NOT_EXPORT,P1,Current group anchor is cranberries/bilberries/Vaccinium fruits only; group spans currants/gooseberries/rose hips/elderberries and residual 081090.,Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0161000,(a) edible peel,080430,NGỜ,NO_DIRECT_GROUP_MAP; use children 0161010-0161990,GROUP_HEADING_DO_NOT_EXPORT,P1,"Current group anchor is pineapple; the group spans dates, figs, olives, kumquats, carambolas, jambuls and residuals.",Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0162000,"(b) inedible peel, small",081070,NGỜ,NO_DIRECT_GROUP_MAP; use children 0162010-0162990,GROUP_HEADING_DO_NOT_EXPORT,P1,"Current group anchor is persimmons; group spans kiwi, lychees, passionfruit, cactus fruit, star apples and others.",Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0163000,"(c) inedible peel, large",080310,NGỜ,NO_DIRECT_GROUP_MAP; use children 0163010-0163990,GROUP_HEADING_DO_NOT_EXPORT,P1,"Current group anchor is plantains/bananas heading, while group spans avocado, banana, mango, papaya, pomegranate, guava, pineapple, durian, breadfruit and others.",Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0212000,(b) tropical root and tuber vegetables,071420,NGỜ,NO_DIRECT_GROUP_MAP; use children 0212010-0212990,GROUP_HEADING_DO_NOT_EXPORT,P1,Current group anchor is sweet potatoes only.,Rule: group headings should not be included in release_long unless explicitly expanded to their child leaf codes.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
